"VIOLATION.CODE","count"
"10F",53950
"08A",41553
"04L",28100
"06D",25983
"06C",25365
"02G",22627
"10B",22610
"04N",20894
"02B",19768
"04H",8210
"04M",8114
"06E",7674
"06F",7219
"04A",7110
"06A",6463
"10H",6275
"",5848
"09C",5834
"08C",5613
"02H",4354
"09B",3929
"10I",3821
"05D",3383
"04C",2728
"06B",2610
"04K",2567
"10E",2432
"20F",2328
"10J",2046
"16B",2007
"15L",1896
"22C",1851
"04J",1808
"10D",1471
"15F",1372
"05H",1315
"09A",1293
"20D",1194
"10A",1071
"22A",761
"05F",712
"08B",622
"03A",606
"22F",492
"20A",488
"02C",479
"16C",470
"16D",455
"05C",450
"15I",439
"16E",434
"10C",392
"02I",293
"04E",277
"02A",261
"04O",237
"16A",216
"03B",195
"04D",189
"05E",176
"04F",165
"20E",156
"06G",139
"05A",134
"18F",122
"22E",114
"15E",111
"18D",90
"03C",89
"05B",89
"22B",61
"10G",56
"02D",53
"07A",44
"15S",41
"18C",36
"18G",35
"15J",33
"03E",29
"15K",27
"15A",25
"02F",19
"04B",19
"15T",17
"22G",14
"03D",13
"03G",11
"06H",9
"18B",9
"06I",6
"03F",5
"02E",4
"04G",4
"02J",3
"17A",3
"20B",3
"16F",2
"19A",2
"04I",1
"15G",1
